snv,qtd_2007,qtd_2008,qtd_2009,qtd_2010,qtd_2011,qtd_2012
101BBA2010,67,63,59,68,67,50
101BBA2012,49,42,63,75,80,38
101BES2030,35,23,33,37,41,40
101BES2050,57,65,67,64,53,61
101BES2070,10,9,12,13,16,9
101BES2075,28,27,26,19,27,22
101BES2090,23,27,34,17,21,38
101BES2120,107,93,94,88,92,95
101BES2130,118,153,171,170,177,166
101BES2135,104,87,112,139,134,92
101BES2150,28,19,36,40,36,26
101BES2170,480,552,532,523,550,544
101BES2190,3,7,2,3,3,4
101BES2195,32,32,43,43,36,25
101BES2198,141,129,138,149,134,180
101BES2210,74,48,62,58,54,57
101BES2230,65,79,98,96,101,123
101BES2250,115,103,150,138,143,152
101BES2270,114,124,121,149,139,164
101BES2290,106,112,137,169,199,239
101BES2300,724,712,733,954,1037,1010
101BES2310,250,269,288,392,398,322
101BES2330,292,325,366,440,425,371
101BES2350,134,125,132,162,174,157
101BES2370,20,10,14,16,16,15
101BES2390,83,87,110,125,113,119
101BES2395,NULL,2,2,5,2,2
101BES2397,102,69,91,110,170,133
101BES2410,27,22,24,29,51,34
101BES2420,49,45,47,57,62,66
101BES2430,18,11,11,25,25,33
101BES2450,68,52,66,81,82,87
101BES2470,53,55,65,81,76,70
101BES2490,86,70,88,126,96,86
101BES2510,40,54,61,84,89,64
101BES2530,48,50,44,67,77,56
101BES2550,21,32,15,29,31,29
101BES2570,10,12,25,8,18,19
101BES2590,52,73,61,93,111,100
101BES2610,29,32,45,48,63,31
101BES2630,13,13,17,12,10,10
101BES9000,9,43,212,283,268,205
101BPB0250,11,10,11,11,14,7
101BPB0255,54,59,67,46,46,42
101BPB0260,25,30,12,30,27,16
101BPB0270,68,104,109,109,116,113
101BPB0280,47,71,59,67,41,47
101BPB0290,11,10,3,5,9,8
101BPB0310,6,10,8,6,17,13
101BPB0320,13,15,10,16,16,6
101BPB0330,68,95,135,125,127,218
101BPB0332,41,54,77,85,95,95
101BPB0335,32,50,48,55,59,61
101BPB0340,43,53,73,112,125,137
101BPB0345,NULL,NULL,NULL,1,NULL,NULL
101BPE0350,38,48,47,39,65,70
101BPE0355,43,62,43,54,71,32
101BPE0360,88,86,99,87,99,88
101BPE0370,79,58,78,105,80,58
101BPE0390,300,280,337,389,538,502
101BPE0410,311,278,408,498,570,438
101BPE0420,229,337,316,405,363,319
101BPE0430,145,140,167,188,255,237
101BPE0435,228,265,343,518,629,588
101BPE0440,222,288,346,436,425,322
101BPE0450,41,25,52,65,72,78
101BPE0460,93,96,101,130,191,137
101BPE0465,21,10,19,26,25,23
101BPE0468,13,11,5,12,17,16
101BPE0470,35,47,42,39,53,43
101BPE0475,11,11,14,16,14,10
101BPE0480,10,9,7,12,5,10
101BPE0490,10,14,12,17,24,17
101BPE0495,11,23,24,15,13,32
101BPE0510,27,32,40,31,32,25
101BPE0530,17,23,35,29,18,16
101BPE0550,43,47,68,40,52,34
101BPE0570,12,5,18,11,13,6
101BPE0575,18,28,20,35,33,16
101BPE9010,35,42,24,27,43,27
101BPE9030,8,16,36,14,10,9
101BRJ2650,32,44,40,51,47,93
101BRJ2670,16,17,24,23,23,18
101BRJ2690,30,38,29,36,40,48
101BRJ2710,39,36,28,48,54,45
101BRJ2730,170,163,202,224,275,241
101BRJ2732,NULL,4,2,13,20,19
101BRJ2750,26,64,62,80,117,96
101BRJ2770,58,73,68,73,96,111
101BRJ2790,22,41,56,40,50,53
101BRJ2810,120,147,151,175,172,170
101BRJ2811,13,19,23,12,30,16
101BRJ2830,13,16,23,24,37,43
101BRJ2850,29,27,34,30,44,40
101BRJ2870,20,19,19,19,32,26
101BRJ2890,49,76,56,84,66,86
101BRJ2910,101,108,94,119,127,113
101BRJ2930,131,123,116,160,179,163
101BRJ2950,95,135,163,142,182,210
101BRJ2970,129,159,184,208,211,189
101BRJ2990,98,119,150,125,129,169
101BRJ3010,126,117,174,178,182,184
101BRJ3030,24,27,44,61,60,65
101BRJ3050,72,55,65,128,108,88
101BRJ3060,92,84,140,143,205,211
101BRJ3070,38,58,94,112,130,126
101BRJ3090,544,659,866,963,1235,1067
101BRJ3110,869,1001,870,987,1134,1026
101BRJ3250,NULL,NULL,NULL,1,NULL,NULL
101BRJ3270,111,102,94,64,34,47
101BRJ3290,101,174,149,163,163,129
101BRJ3310,20,29,54,11,26,19
101BRJ3320,23,29,51,18,17,20
101BRJ3330,183,160,184,109,73,93
101BRJ3335,106,121,139,134,151,150
101BRJ3340,56,57,85,89,111,107
101BRJ3345,5,13,28,26,35,26
101BRJ3350,198,203,223,329,325,295
101BRJ3370,77,99,93,100,106,96
101BRJ3390,111,162,170,179,166,167
101BRJ3410,57,73,91,107,100,104
101BRJ3430,21,26,39,23,40,36
101BRN0010,NULL,3,11,1,NULL,3
101BRN0015,NULL,1,2,1,1,1
101BRN0020,9,6,1,7,3,5
101BRN0030,6,5,1,5,3,NULL
101BRN0032,2,2,1,1,2,1
101BRN0034,3,4,2,NULL,4,NULL
101BRN0036,1,3,3,1,1,1
101BRN0040,21,11,6,9,4,7
101BRN0050,5,4,9,8,6,5
101BRN0055,4,10,12,10,15,5
101BRN0060,14,10,12,10,9,15
101BRN0065,36,24,16,16,18,20
101BRN0070,48,56,56,82,86,74
101BRN0075,137,158,124,147,141,125
101BRN0080,157,127,119,143,139,95
101BRN0085,45,15,30,44,35,33
101BRN0110,222,191,236,255,253,213
101BRN0130,725,709,807,970,1017,887
101BRN0132,64,52,72,84,67,84
101BRN0150,202,206,229,229,281,275
101BRN0165,14,19,16,12,10,18
